 Written on 17Oct2022 at 16:46:58 
          26
          64
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1
    0    0    0    1    1 -117.831368    0.000000
    0    0    0   15   10    0.000000    0.000000
    0    0    0   16   10    0.008177   -0.000000
    0    0    0   17   10    0.009788    0.000000
    0    0    0   18   10   -0.000000    0.000000
    0    0    0   19   10    4.936281    0.000000
    0    0    0   20   10    2.850261   -0.000000
    0    0    0   21   10    0.000000   -0.000000
    0    0    0   22   10   -8.873059    0.000000
    0    0    0   23   10    0.185351    0.000000
    0    0    0   24   10    2.047397   -0.000000
    0    0    0   25   10   -0.000000    0.000000
    0    0    0   26   10   -0.009527   -0.000000
    0    0    0    1   11   -0.409833   -0.000000
    0    0    0    2   11   -0.388007   -0.000000
    0    0    0    3   11    0.000000    0.000000
    0    0    0    4   11    0.342678   -0.000000
    0    0    0    5   11    0.258612   -0.000000
    0    0    0    6   11    0.000000    0.000000
    0    0    0    7   11    0.366372    0.000000
    0    0    0    8   11    0.041397   -0.000000
    0    0    0    9   11    0.000000   -0.000000
    0    0    0   10   11   -0.059307   -0.000000
    0    0    0   11   11  -73.192152   -0.000000
    0    0    0   12   11   -0.000000    0.000000
    0    0    0   13   11    0.007679    0.000000
    0    0    0   14   11   -1.521564   -0.000000
    0    0    0   15   11    0.000000    0.000000
    0    0    0   16   11   -0.000594    0.000000
    0    0    0   17   11    0.002618   -0.000000
    0    0    0   18   11    0.000000   -0.000000
    0    0    0   19   11   -1.748981   -0.000000
    0    0    0   20   11    2.072889   -0.000000
    0    0    0   21   11    0.000000    0.000000
    0    0    0   22   11    2.982261    0.000000
    0    0    0   23   11   -0.493642    0.000000
    0    0    0   24   11   -1.500178   -0.000000
    0    0    0   25   11   -0.000000    0.000000
    0    0    0   26   11   -0.001722    0.000000
    0    0    0    1   12   -0.000000    0.000000
    0    0    0    2   12    0.000000   -0.000000
    0    0    0    3   12    0.140727   -0.000000
    0    0    0    4   12    0.000000    0.000000
    0    0    0    5   12    0.000000    0.000000
    0    0    0    6   12   -0.023272    0.000000
    0    0    0    7   12    0.000000    0.000000
    0    0    0    8   12    0.000000   -0.000000
    0    0    0    9   12   -0.101258    0.000000
    0    0    0   10   12    0.000000    0.000000
    0    0    0   11   12   -0.000000   -0.000000
    0    0    0   12   12  -73.258199    0.000000
    0    0    0   13   12    0.000000   -0.000000
    0    0    0   14   12    0.000000    0.000000
    0    0    0   15   12    0.876867    0.000000
    0    0    0   16   12    0.000000   -0.000000
    0    0    0   17   12   -0.000000    0.000000
    0    0    0   18   12    1.340162    0.000000
    0    0    0   19   12    0.000000    0.000000
    0    0    0   20   12   -0.000000    0.000000
    0    0    0   21   12    3.029426   -0.000000
    0    0    0   22   12   -0.000000    0.000000
    0    0    0   23   12   -0.000000    0.000000
    0    0    0   24   12    0.000000   -0.000000
    0    0    0   25   12    0.257770    0.000000
    0    0    0   26   12    0.000000    0.000000
    0    0    0    1   13    0.143075   -0.000000
    0    0    0    2   13    0.181833    0.000000
    0    0    0    3   13    0.000000   -0.000000
    0    0    0    4   13   -0.193448   -0.000000
    0    0    0    5   13    0.152116    0.000000
    0    0    0    6   13   -0.000000   -0.000000
    0    0    0    7   13    0.030261   -0.000000
    0    0    0    8   13   -0.048546   -0.000000
    0    0    0    9   13   -0.000000   -0.000000
    0    0    0   10   13   -0.015292    0.000000
    0    0    0   11   13    0.007679   -0.000000
    0    0    0   12   13    0.000000    0.000000
    0    0    0   13   13  -73.202128    0.000000
    0    0    0   14   13    0.001841   -0.000000
    0    0    0   15   13   -0.000000    0.000000
    0    0    0   16   13    0.867991   -0.000000
    0    0    0   17   13    1.341207    0.000000
    0    0    0   18   13    0.000000    0.000000
    0    0    0   19   13    5.079279   -0.000000
    0    0    0   20   13    2.815631    0.000000
    0    0    0   21   13    0.000000   -0.000000
    0    0    0   22   13   -5.854147    0.000000
    0    0    0   23   13    0.001674    0.000000
    0    0    0   24   13    0.006699   -0.000000
    0    0    0   25   13   -0.000000    0.000000
    0    0    0   26   13    0.259087    0.000000
    0    0    0    1   14   -0.152228   -0.000000
    0    0    0    2   14    0.099013    0.000000
    0    0    0    3   14    0.000000   -0.000000
    0    0    0    4   14   -0.458148    0.000000
    0    0    0    5   14    0.055184   -0.000000
    0    0    0    6   14    0.000000    0.000000
    0    0    0    7   14    0.041678    0.000000
    0    0    0    8   14    0.031696   -0.000000
    0    0    0    9   14   -0.000000   -0.000000
    0    0    0   10   14    0.285428   -0.000000
    0    0    0   11   14   -1.521564    0.000000
    0    0    0   12   14    0.000000   -0.000000
    0    0    0   13   14    0.001841    0.000000
    0    0    0   14   14   -0.054275    0.000000
    0    0    0   15   14   -0.000000   -0.000000
    0    0    0   16   14    0.000208    0.000000
    0    0    0   17   14   -0.000256   -0.000000
    0    0    0   18   14   -0.000000   -0.000000
    0    0    0   19   14    0.579322   -0.000000
    0    0    0   20   14    0.414485   -0.000000
    0    0    0   21   14    0.000000    0.000000
    0    0    0   22   14   -0.144722   -0.000000
    0    0    0   23   14   -0.317121    0.000000
    0    0    0   24   14   -0.197760   -0.000000
    0    0    0   25   14   -0.000000    0.000000
    0    0    0   26   14   -0.001942    0.000000
    0    0    0    1   15    0.000000   -0.000000
    0    0    0    2   15    0.000000   -0.000000
    0    0    0    3   15   -0.095745   -0.000000
    0    0    0    4   15    0.000000    0.000000
    0    0    0    5   15    0.000000    0.000000
    0    0    0    6   15    0.031313    0.000000
    0    0    0    7   15    0.000000    0.000000
    0    0    0    8   15   -0.000000    0.000000
    0    0    0    9   15   -0.028644   -0.000000
    0    0    0   10   15    0.000000   -0.000000
    0    0    0   11   15    0.000000   -0.000000
    0    0    0   12   15    0.876867   -0.000000
    0    0    0   13   15   -0.000000   -0.000000
    0    0    0   14   15   -0.000000    0.000000
    0    0    0   15   15    0.118134   -0.000000
    0    0    0   16   15   -0.000000   -0.000000
    0    0    0   17   15    0.000000   -0.000000
    0    0    0   18   15   -0.114020   -0.000000
    0    0    0   19   15   -0.000000    0.000000
    0    0    0   20   15    0.000000   -0.000000
    0    0    0   21   15    0.058416    0.000000
    0    0    0   22   15   -0.000000   -0.000000
    0    0    0   23   15    0.000000   -0.000000
    0    0    0   24   15   -0.000000    0.000000
    0    0    0   25   15    0.030739    0.000000
    0    0    0   26   15   -0.000000    0.000000
    0    0    0    1   16    0.166944   -0.000000
    0    0    0    2   16   -0.040402   -0.000000
    0    0    0    3   16    0.000000    0.000000
    0    0    0    4   16    0.061841    0.000000
    0    0    0    5   16    0.104457   -0.000000
    0    0    0    6   16    0.000000   -0.000000
    0    0    0    7   16   -0.059284    0.000000
    0    0    0    8   16   -0.008704   -0.000000
    0    0    0    9   16   -0.000000    0.000000
    0    0    0   10   16    0.008177    0.000000
    0    0    0   11   16   -0.000594   -0.000000
    0    0    0   12   16    0.000000    0.000000
    0    0    0   13   16    0.867991    0.000000
    0    0    0   14   16    0.000208   -0.000000
    0    0    0   15   16   -0.000000    0.000000
    0    0    0   16   16    0.117493   -0.000000
    0    0    0   17   16   -0.114025   -0.000000
    0    0    0   18   16   -0.000000    0.000000
    0    0    0   19   16    0.823206   -0.000000
    0    0    0   20   16   -0.252302   -0.000000
    0    0    0   21   16   -0.000000   -0.000000
    0    0    0   22   16   -0.509722    0.000000
    0    0    0   23   16   -0.000156    0.000000
    0    0    0   24   16   -0.000238   -0.000000
    0    0    0   25   16    0.000000   -0.000000
    0    0    0   26   16    0.029814    0.000000
    0    0    0    1   17   -0.266404    0.000000
    0    0    0    2   17   -0.092372   -0.000000
    0    0    0    3   17    0.000000   -0.000000
    0    0    0    4   17   -0.252423    0.000000
    0    0    0    5   17    0.105325   -0.000000
    0    0    0    6   17    0.000000   -0.000000
    0    0    0    7   17   -0.015961    0.000000
    0    0    0    8   17   -0.009263   -0.000000
    0    0    0    9   17    0.000000    0.000000
    0    0    0   10   17    0.009788   -0.000000
    0    0    0   11   17    0.002618    0.000000
    0    0    0   12   17   -0.000000   -0.000000
    0    0    0   13   17    1.341207   -0.000000
    0    0    0   14   17   -0.000256    0.000000
    0    0    0   15   17    0.000000    0.000000
    0    0    0   16   17   -0.114025    0.000000
    0    0    0   17   17    0.032284   -0.000000
    0    0    0   18   17    0.000000    0.000000
    0    0    0   19   17    1.258635    0.000000
    0    0    0   20   17    0.295709    0.000000
    0    0    0   21   17    0.000000    0.000000
    0    0    0   22   17   -0.584103   -0.000000
